letra,duração,exibições
"[['A banda charliie brown jr.', 'Orgulhosamente apresenta', 'O canto do pré-histórico, o endividado, o extinto:', 'O último frango da malásia.']]",14,32179
"[['Corra', 'Pra ver o que acontece', 'E volte aqui pra me falar', 'O que parou a cidade inteira novamente', 'Acordou todo mundo', 'Mulherada muito loca com doce na boca!'], ['Meu, tu não sabe o que aconteceu!', 'Os caras do Charlie Brown invadiram a cidade!', 'Junte sua mãe, seu cachorro e sua sogra', 'Traga todo mundo o coro vai comê!', 'Never give it up hey!', 'Do you really wanna do it boy'], ['Come on!'], ['Never give it up hey! Hey! Hey!', 'Do you really wanna do it boy?', 'You got a biron bacon xotonson', 'Give up legalize!', 'Travazon, rasga rasgazon', 'Travazon yeah!', 'Não vou me preocupar, velha', 'Chata vai tá lá, yeah!'], ['Eu disse: Corra', 'Vá ver o que acontece', 'E volte aqui pra me falar', 'O que parou a cidade inteira novamente', 'Acordou todo mundo', 'Mulherada Muito loca com doce na boca!'], ['Come on!'], ['Meu, tu não sabe o que aconteceu!', 'Os caras do Charlie Brown invadiram a cidade!', 'Junte sua mãe, seu cachorro e sua sogra', 'Traga todo mundo o coro vai comê!'], ['Meu, tu não sabe o que aconteceu!', 'Os caras do Charlie Brown invadiram a cidade!', 'Junte sua mãe, seu cachorro e sua sogra', 'Traga todo mundo o coro vai comê!'], ['Never give it up hey!', 'Do you really wanna do it boy?', 'Never give it up hey!', 'Do you really wanna do it boy?', 'Never give it up hey!', 'Never give it up hey! Do you really wanna do it boy?', 'Never give it up hey! Hey! Hey!', 'Never give it up hey wanna do it boy?'], ['Charlie Brown!']]",142,390139
"[['Essa é uma história de amargar', 'Conheci uma garota, meu irmão, vou lhe falar', 'Tudo que ela quer, o pai dela dá', 'Desde casa em Ubatuba ao AP no Guarujá'], ['Fim de festa olho pra ela, ela sorri pra mim', 'Me secou a noite inteira', 'Ela só pode estar afim', 'Ela tem carro importado e telefone celular', 'Eu só tenho uma magrela e um AP no BNH', 'Eu falo tudo que ela gosta de escutar', 'Deve ser por isso que ela vem me procurar', 'Eu falo, eu falo tudo que ela gosta de escutar', 'Deve ser por isso que ela vem me procurar'], ['O pai dela riu de mim porque o meu carro é popular', 'E ainda me deu uma notícia de desanimar', 'Rapaz, você não é bom pra minha filha, não', 'Quem é teu pai? Quem é você? O que que você faz? Vou investigar você'], ['Fim de festa olho pra ela, ela sorri pra mim', 'Me secou a noite inteira', 'Ela só pode estar afim', 'Ela tem carro importado e telefone celular', 'Eu só tenho uma magrela e um AP no BNH', 'Eu falo tudo que ela gosta de escutar', 'Deve ser por isso que ela vem me procurar', 'Eu falo, eu falo tudo que ela gosta de escutar', 'Deve ser por isso que ela vem me procurar'], ['Eu falo tudo que ela gosta de escutar', 'Deve ser por isso que ela vem me procurar', 'Eu falo, eu falo tudo que ela gosta de escutar', 'Deve ser por isso que ela vem me procurar'], ['Aliviou? Calma aí quer um trato que eu te dou! Mulher tu pode até falar mas, foi assim que tu gostou!']]",177,717079
"[['Eu sou o Sheik, tenho mais de mil mulheres no meu harém', 'Minha barraca tá armada e não tem pra ninguém', 'Com meu petróleo tua máquina funciona bem', 'Vou te comprar pro meu harém!', 'Porque eu só moro em cobertura, só ando em limousine', 'Um milhão no porta-malas, cinco minas de biquíni', 'Eu sou o Sheik, Sheik, Sheik', 'Vou te comprar pro meu harém!'], ['Poligamia, casei com tua irmã', 'Com tua prima e tua tia!', 'Você, no meu lugar, não vai dizer que não faria', 'Tudo traz a lembrança da lenda da fenda', 'fica induzindo ele rumar pra lá', 'estúpido ele fica, assim ela é linda', 'Ela vem, ela abala, ela é má', 'Sheik, sheik, sheik o que ela tem pra me entreter', 'É mais ou menos parecido com a mulher do Canadá!', 'Sheik, Sheik', 'Sheik, Sheik, Sheik!', 'Sheik, Sheik', 'Sheik, Sheik, Sheik!']]",172,90147
"[['HEI AREIA'], ['HEI AREIA'], ['HEI AREIA'], ['HEI AREIA'], ['HEI AREIA']]",38,9954
"[['Eu não sei nada de matemática', 'Sou um estúpido em francês', 'Eu não sei nada de geografia', 'Mas sou perito em anatomia', 'E manjo um pouco de inglês'], ['Do you wanna gimme girl?', 'Do you wanna gimme o anel?', 'Do you wanna gimme girl?', 'Do you wanna go pro motel?'], ['Ela riu de mim disse que talvez', 'Se eu fosse um cara de nome', 'Ou se eu fosse um burguês', 'Eu disse calma neném', 'Eu tive um dia difícil', 'Dinheiro você já tem', 'Eu te ofereço meu míssil'], ['Do you wanna gimme girl?', 'Do you wanna give me o anel?', 'Do you wanna give me girl?', 'Do you wanna go pro motel?'], ['Ela riu de mim disse que talvez', 'Se eu fosse um cara de nome', 'Ou se eu fosse um burguês', 'Além do que eu nem tenho carro importado', 'Meu tênis fede a barato', 'E eu ainda sou um desbocado!'], ['Do you wanna give me girl?', 'Do you wanna give me o anel?', 'Do you wanna give me girl?', 'Do you wanna go pro motel?'], ['Do you wanna gimme o anel?', 'Do you wanna gimme girl?', 'Do you wanna go pro motel?'], ['Xanas tucon la raxazon!', 'Xanas tucon! Xanas tucon!', 'La rachazon!']]",218,124187
[],55,9323
"[['A vida é feita de atitudes nem sempre decentes', 'Não lhe julgam pela razão, mas pelos seus antecedentes'], ['É quando eu volto a me lembrar', 'Do que eu pensava nem ter feito', 'Vem, me traz aquela paz', 'Você procura a perfeição e eu tenho andado sob efeito, mas', 'Posso te dizer que eu já não aguento mais', 'Desencana, não vou mudar por sua causa não tem jeito, mas', 'Quem é que decide o que é melhor pra minha vida agora?'], ['Ouvi dizer que só era triste quem queria', 'Ouvi dizer que só era triste quem queria', 'Ouvi dizer que só era triste quem queria', 'Ouvi dizer que só era triste quem queria'], ['Lidei com coisas que eu jamais entenderei', 'Ah! Se eu pudesse estar em paz', 'Me livrar do pesadelo de vê-lo nesse estado', 'E não poder ajudá-lo, não', 'Mas triste é não poder mudar', 'Por que está tão revoltado, irmão?'], ['Ouvi dizer que só era triste quem queria', 'Ouvi dizer que só era triste quem queria', 'Ouvi dizer que só era triste quem queria', 'Ouvi dizer que só era triste quem queria'], ['Ouvi dizer que só era triste quem queria', 'Ouvi dizer que só era triste quem queria', 'Ouvi dizer que só era triste quem queria', 'Ouvi dizer que só era triste quem queria'], ['A vida é feita de atitudes nem sempre decentes', 'Não lhe julgam pela razão', 'Mas pelos seus antecedentes', 'Cuidado com seus passos']]",177,1230116
"[['Ainda me lembro bem', 'Daquela quinta-feira, yeah', 'Cinco malandro em volta da fogueira, yeah', 'Fogueira, yeah'], ['Ouvi o grito de dor de um homem que falava a verdade', 'Mas ninguém se importava', 'Botando pra fora tudo o que sentiu na pele', 'Mas ninguém lhe dava ouvidos, não'], ['Ouvi o grito de dor de um homem que falava a verdade', 'Mas ninguém se importava', 'Botava pra fora tudo o que sentiu na pele', 'Mas ninguém lhe dava ouvidos, não'], ['Deixou a marca da fogueira', 'Que acendeu pra se livrar do frio que mata', 'Miséria impune, notável, sincera, não acaba nunca, yeah', 'Deixou a marca da fogueira', 'Que acendeu pra se livrar do frio que mata, mata, mata', 'Miséria impune, notável, sincera não acaba nunca, yeah'], ['Parecia inofensiva, mas te dominou', 'Te dominou, te dominou, dominou', 'Parecia inofensiva, mas te dominou', 'Te dominou, te dominou, dominou'], ['Parecia inofensiva, mas te dominou', 'Te dominou, te dominou, dominou', 'Parecia inofensiva, mas te dominou', 'Te dominou, te dominou, dominou'], ['O difícil é desviar de quem tá sempre querendo', 'Ela mantém a porta aberta, ela te faz de instrumento', 'Vai te dominar, se já não dominou'], ['Ouvi o grito de dor de um homem que falava a verdade', 'Mas ninguém se importava', 'Botando pra fora tudo o que sentiu na pele', 'Ninguém lhe dava ouvidos, não'], ['Deixou a marca da fogueira', 'Que acendeu pra se livrar do frio que mata', 'Miséria impune, notável, sincera, não acaba nunca, yeah', 'Deixou a marca da fogueira', 'Que acendeu pra se livrar do frio que mata, mata, mata', 'Miséria impune, notável, sincera, não acaba nunca, yeah'], ['Parecia inofensiva, mas te dominou', 'Te dominou, te dominou, dominou', 'Parecia inofensiva, mas te dominou', 'Te dominou, te dominou, dominou'], ['Parecia inofensiva, mas te dominou', 'Te dominou, te dominou, dominou', 'Parecia inofensiva, mas te dominou', 'Te dominou, te dominou, dominou'], ['Parecia inofensiva, mas te dominou', 'Te dominou, te dominou, dominou', 'Parecia inofensiva, mas te dominou', 'Te dominou, te dominou, dominou'], ['Parecia inofensiva, mas te dominou', 'Te dominou, te dominou, dominou', 'Parecia inofensiva, mas te dominou', 'Te dominou, te dominou, dominou']]",283,649167
"[['Ela achou meu cabelo engraçado', 'Proibida pra mim no way', 'Disse que não podia ficar', 'Mas levou a sério o que eu falei'], ['Eu vou fazer de tudo que eu puder', 'Eu vou roubar essa mulher pra mim', 'Eu posso te ligar a qualquer hora', 'Mas eu nem sei seu nome!'], ['Se não eu, quem vai fazer você feliz?', 'Se não eu, quem vai fazer você feliz? Guerra!'], ['Se não eu, quem vai fazer você feliz?', 'Se não eu, quem vai fazer você feliz? Guerra!'], ['Eu me flagrei pensando em você', 'Em tudo que eu queria te dizer', 'Numa noite especialmente boa', 'Não há nada mais que a gente possa fazer'], ['Eu vou fazer de tudo que eu puder', 'Eu vou roubar essa mulher pra mim', 'Eu posso te ligar a qualquer hora', 'Mas eu nem sei seu nome!'], ['Se não eu, quem vai fazer você feliz?', 'Se não eu, quem vai fazer você feliz? Guerra!'], ['Se não eu, quem vai fazer você feliz?', 'Se não eu, quem vai fazer você feliz? Guerra!'], ['Se não eu, quem vai fazer você feliz?', 'Se não eu, quem vai fazer você feliz? Guerra!'], ['Se não eu, quem vai fazer você feliz?', 'Se não eu, quem vai fazer você feliz? Guerra!']]",204,1400738
